epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0097,2.75636,3.42541,2.27173,0.01778,0.17978,0.01058,0.00456,2.45568,3.41647,2.03193,2e-05,2e-05,2e-05
2,28.1744,2.54831,3.40981,2.16386,0.02556,0.25843,0.0172,0.00713,2.14998,3.3167,1.78525,5.9406e-05,5.9406e-05,5.9406e-05
3,41.1414,2.40947,3.39971,2.01505,0.03,0.30337,0.02158,0.00848,1.97876,3.30692,1.64727,9.802e-05,9.802e-05,9.802e-05
4,55.0927,2.08216,3.27884,1.80423,0.04333,0.4382,0.03418,0.01443,1.90279,3.28008,1.55375,0.000135842,0.000135842,0.000135842
5,67.9762,2.15333,3.24965,1.78971,0.04667,0.47191,0.05065,0.01834,1.85829,3.24291,1.50639,0.000172872,0.000172872,0.000172872
6,80.8849,2.01309,3.17648,1.58294,0.05,0.50562,0.09134,0.02931,1.89499,3.19625,1.49092,0.00020911,0.00020911,0.00020911
7,93.3592,1.95611,3.12298,1.52368,0.05333,0.53933,0.11453,0.04798,1.93798,3.15246,1.4808,0.000244556,0.000244556,0.000244556
8,106.119,1.84279,2.9611,1.45818,0.05556,0.5618,0.1757,0.0704,1.95722,3.12083,1.45579,0.00027921,0.00027921,0.00027921
9,119.045,1.80683,2.81808,1.38383,0.06,0.60674,0.22315,0.09495,1.95973,3.10435,1.42258,0.000313072,0.000313072,0.000313072
10,132.368,1.76195,2.63683,1.40503,0.06111,0.61798,0.2263,0.10542,1.96802,3.05451,1.37625,0.000346142,0.000346142,0.000346142
11,144.72,1.81916,2.58946,1.40111,0.06111,0.61798,0.24588,0.10866,1.98165,3.02887,1.39022,0.00037842,0.00037842,0.00037842
12,158.237,1.93067,2.58536,1.44792,0.06333,0.64045,0.24841,0.1055,1.95407,3.00643,1.3465,0.000409906,0.000409906,0.000409906
13,171.752,1.83895,2.41755,1.3749,0.06667,0.67416,0.25739,0.11236,1.94456,2.96805,1.33678,0.0004406,0.0004406,0.0004406
14,184.628,1.81313,2.34685,1.35034,0.06556,0.66292,0.24528,0.10232,1.99038,2.94566,1.35735,0.000470502,0.000470502,0.000470502
15,198.522,1.90324,2.33352,1.4243,0.06444,0.65169,0.22784,0.09505,2.00319,2.92014,1.36124,0.000499612,0.000499612,0.000499612
16,211.309,1.85234,2.09851,1.41588,0.05695,0.47569,0.22265,0.08716,1.9315,2.87805,1.34191,0.00052793,0.00052793,0.00052793
17,224.548,1.89623,2.0417,1.43881,0.25464,0.26966,0.21102,0.08713,1.89468,2.84874,1.33041,0.000555456,0.000555456,0.000555456
18,237.588,1.92036,1.99307,1.43446,0.70987,0.1101,0.22244,0.07534,1.88995,2.86759,1.39932,0.00058219,0.00058219,0.00058219
19,250.7,1.91355,1.92482,1.4364,0.56673,0.10112,0.19508,0.06338,1.99373,2.88341,1.49209,0.000608132,0.000608132,0.000608132
20,263.861,1.89604,1.8744,1.40849,0.45657,0.11332,0.2081,0.07223,1.92389,2.7881,1.41604,0.000633282,0.000633282,0.000633282
21,277.076,1.94073,1.83746,1.40789,0.4741,0.17227,0.21553,0.09919,1.89224,2.63025,1.35175,0.00065764,0.00065764,0.00065764
22,290.855,1.8589,1.75033,1.3935,0.45709,0.22472,0.25694,0.10939,1.86022,2.54024,1.32762,0.000681206,0.000681206,0.000681206
23,306.24,1.95442,1.79427,1.44495,0.30821,0.21029,0.23928,0.08806,1.9589,2.56037,1.4029,0.00070398,0.00070398,0.00070398
24,320.78,1.98735,1.81253,1.46389,0.21895,0.20225,0.18457,0.07102,1.96401,2.55056,1.44802,0.000725962,0.000725962,0.000725962
25,335.132,1.75506,1.59173,1.36089,0.24728,0.2809,0.21183,0.08434,1.87336,2.45231,1.41652,0.000747152,0.000747152,0.000747152
26,350.336,1.82417,1.60017,1.36077,0.25133,0.30337,0.21768,0.09335,1.81901,2.36816,1.41134,0.00076755,0.00076755,0.00076755
27,363.076,1.78497,1.57377,1.35244,0.28773,0.35955,0.24461,0.10033,1.79114,2.31163,1.39561,0.000787156,0.000787156,0.000787156
28,377.667,1.77665,1.53796,1.36747,0.28773,0.35955,0.24461,0.10033,1.79114,2.31163,1.39561,0.00080597,0.00080597,0.00080597
29,391.585,1.69336,1.47059,1.32517,0.38275,0.37079,0.26901,0.10926,1.8163,2.32117,1.4423,0.000823992,0.000823992,0.000823992
30,406.564,1.81862,1.55497,1.39262,0.4242,0.35955,0.29407,0.12047,1.83694,2.28174,1.47809,0.000841222,0.000841222,0.000841222
31,421.278,1.73961,1.55439,1.37038,0.4242,0.35955,0.29407,0.12047,1.83694,2.28174,1.47809,0.00085766,0.00085766,0.00085766
32,434.767,1.75272,1.4822,1.35753,0.44002,0.34831,0.31539,0.13597,1.78669,2.23227,1.47057,0.000873306,0.000873306,0.000873306
