epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1296,2.75636,3.42541,2.27173,0.01778,0.17978,0.01058,0.00456,2.45568,3.41647,2.03193,2e-05,2e-05,2e-05
2,26.6802,2.55633,3.41071,2.1693,0.02222,0.22472,0.01426,0.00653,2.19111,3.31477,1.81494,4.812e-05,4.812e-05,4.812e-05
3,39.9563,2.46413,3.4101,2.05528,0.02778,0.2809,0.01934,0.0084,2.05823,3.31738,1.70278,6.04e-05,6.04e-05,6.04e-05
4,52.4687,2.19109,3.31002,1.90931,0.03222,0.32584,0.02363,0.01005,1.98703,3.31824,1.65627,5.684e-05,5.684e-05,5.684e-05
5,65.4437,2.2981,3.32244,1.94862,0.03444,0.34831,0.02701,0.01204,1.96837,3.31643,1.64184,3.744e-05,3.744e-05,3.744e-05
