epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2453.89,1.99601,2.22348,1.57662,0.43149,0.20225,0.23418,0.13491,1.56735,1.70906,1.31121,0.00066,0.00066,0.00066
2,4674.35,1.67317,1.45864,1.36207,0.66658,0.2471,0.2722,0.14517,1.5058,1.59355,1.2953,0.00131353,0.00131353,0.00131353
3,7337.85,1.60304,1.35326,1.32021,0.45503,0.22517,0.25163,0.11759,1.58732,1.59162,1.36339,0.00195387,0.00195387,0.00195387
4,9742.67,1.56043,1.29291,1.29638,0.49812,0.17978,0.19039,0.10055,1.65073,1.67561,1.41972,0.0019406,0.0019406,0.0019406
5,12035.4,1.52091,1.22329,1.26958,0.4257,0.19101,0.23269,0.10819,1.69681,1.74774,1.37454,0.0019208,0.0019208,0.0019208
6,14339.1,1.47088,1.15695,1.24427,0.47708,0.25843,0.24542,0.1228,1.56614,1.77846,1.38326,0.001901,0.001901,0.001901
7,16522.8,1.44226,1.12188,1.22475,0.35045,0.21828,0.21587,0.09579,1.74885,1.51372,1.44544,0.0018812,0.0018812,0.0018812
8,18710.8,1.40231,1.0661,1.20213,0.46963,0.21348,0.23738,0.13096,1.50011,1.43011,1.32931,0.0018614,0.0018614,0.0018614
9,21062.6,1.39402,1.05608,1.20131,0.36133,0.19101,0.20165,0.10953,1.53446,1.67652,1.29389,0.0018416,0.0018416,0.0018416
10,23375.9,1.35028,0.99354,1.17272,0.61208,0.23596,0.27388,0.16869,1.5943,1.38329,1.37104,0.0018218,0.0018218,0.0018218
11,25460.6,1.32624,0.9606,1.15976,0.42911,0.25342,0.2402,0.1361,1.63673,1.56646,1.37904,0.001802,0.001802,0.001802
