epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4487,2.89551,3.44096,2.30031,0.01889,0.19101,0.01131,0.00443,2.46445,3.42548,2.04372,2e-05,2e-05,2e-05
2,24.2917,2.70471,3.4636,2.1533,0.02778,0.2809,0.01884,0.00735,2.16551,3.31048,1.78213,5.9406e-05,5.9406e-05,5.9406e-05
3,37.7016,2.45092,3.37706,2.05735,0.03222,0.32584,0.0271,0.01184,1.94431,3.27372,1.59972,9.802e-05,9.802e-05,9.802e-05
4,53.4925,2.10246,3.29307,1.74643,0.04222,0.42697,0.037,0.01724,1.80408,3.22647,1.48324,0.000135842,0.000135842,0.000135842
5,76.38,2.00028,3.27873,1.59865,0.05333,0.53933,0.08004,0.03554,1.77422,3.16963,1.38404,0.000172872,0.000172872,0.000172872
6,91.128,1.88932,3.14614,1.4614,0.06,0.60674,0.17142,0.06877,1.70162,3.08302,1.29035,0.00020911,0.00020911,0.00020911
7,106.91,1.82153,3.02595,1.40244,0.06111,0.61798,0.14809,0.0794,1.70569,3.07314,1.29214,0.000244556,0.000244556,0.000244556
8,121.646,1.79233,2.8823,1.36193,0.05778,0.58427,0.18465,0.09824,1.75366,3.07686,1.34365,0.00027921,0.00027921,0.00027921
9,135.578,1.70451,2.7523,1.31927,0.05889,0.59551,0.20361,0.10983,1.69734,3.04662,1.31712,0.000313072,0.000313072,0.000313072
10,149.59,1.68898,2.61307,1.30586,0.06333,0.64045,0.25219,0.12977,1.69038,2.97567,1.27697,0.000346142,0.000346142,0.000346142
11,164.843,1.72959,2.56709,1.29074,0.06333,0.64045,0.22421,0.12144,1.65715,2.92199,1.24797,0.00037842,0.00037842,0.00037842
12,181.03,1.74915,2.47955,1.3072,0.06111,0.61798,0.20932,0.1096,1.69685,2.88919,1.24517,0.000409906,0.000409906,0.000409906
13,195.148,1.69758,2.3209,1.26533,0.06444,0.65169,0.20671,0.1085,1.68377,2.86616,1.21063,0.0004406,0.0004406,0.0004406
14,208.416,1.75494,2.22817,1.28382,0.06222,0.62921,0.22741,0.10698,1.72673,2.8571,1.19684,0.000470502,0.000470502,0.000470502
15,222.661,1.71828,2.19652,1.27395,0.06222,0.62921,0.21955,0.10615,1.71977,2.85134,1.18854,0.000499612,0.000499612,0.000499612
16,236.413,1.84637,2.1287,1.32267,0.06333,0.64045,0.1832,0.10042,1.665,2.83073,1.17235,0.00052793,0.00052793,0.00052793
17,252.242,1.74932,1.95635,1.277,0.06444,0.65169,0.18385,0.09359,1.67626,2.79031,1.18027,0.000555456,0.000555456,0.000555456
18,266.897,1.74253,1.89001,1.29321,0.06667,0.67416,0.1953,0.10127,1.64702,2.76377,1.19041,0.00058219,0.00058219,0.00058219
19,281.047,1.72361,1.84228,1.2683,0.08223,0.46067,0.23026,0.10509,1.70171,2.68955,1.22455,0.000608132,0.000608132,0.000608132
20,297.747,1.70291,1.66998,1.2425,0.22764,0.35955,0.21865,0.11196,1.7262,2.60615,1.24118,0.000633282,0.000633282,0.000633282
