epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.849,1.98436,2.26425,1.61282,0.5417,0.35955,0.37436,0.19914,1.61798,1.83383,1.36909,0.00066,0.00066,0.00066
2,976.313,1.72668,1.58372,1.43238,0.55936,0.44944,0.42927,0.236,1.56345,1.61862,1.39745,0.00131353,0.00131353,0.00131353
3,1727.46,1.66412,1.47891,1.38289,0.56502,0.24719,0.25562,0.1521,1.51712,1.57011,1.32368,0.00195387,0.00195387,0.00195387
4,2534.65,1.65427,1.46963,1.38803,0.57339,0.23596,0.28452,0.1639,1.60696,1.5264,1.39476,0.0019406,0.0019406,0.0019406
5,3391.32,1.60098,1.38373,1.35192,0.48319,0.20225,0.23507,0.12734,1.64877,1.56703,1.42524,0.0019208,0.0019208,0.0019208
